customer_id,snapshot_month,age,income,months_on_book,utilisation_ratio,missed_payments_6m,payment_ratio,max_dpd_12m,cibil_score,num_enquiries_6m,num_active_trades,bad_flag
OOT000037,01-09-2022,56,70000,66,0.4524,0,0.8172,0,735,4,7,0
OOT000038,01-09-2022,51,51000,42,0.2964,2,2.0821,0,713,1,2,0
OOT000039,01-09-2022,25,42000,52,0.2378,0,1.635,90,614,2,5,0
OOT000040,01-09-2022,35,34000,36,0.8368,2,1.9451,30,667,2,15,0
OOT000041,01-09-2022,35,68000,30,0.338,0,1.0574,0,708,3,4,0
OOT000042,01-09-2022,53,94000,24,0.6529,2,0.6564,0,670,2,7,0
OOT000043,01-09-2022,55,58000,33,0.4151,1,0.9028,30,667,2,15,0
OOT000044,01-09-2022,57,51000,43,0.3781,0,0.686,0,703,4,1,0
OOT000045,01-09-2022,36,108000,43,0.5773,1,2.1497,0,751,2,11,0
OOT000046,01-09-2022,37,40000,17,0.5747,3,0.7083,90,582,2,2,1
OOT000047,01-09-2022,36,35000,67,0.268,2,0.7979,0,690,0,5,0
OOT000048,01-09-2022,59,115000,20,0.5565,2,1.3423,0,721,0,4,0
OOT000049,01-09-2022,48,69000,66,0.1759,3,0.931,0,652,1,12,0
OOT000050,01-09-2022,64,45000,27,0.717,1,1.1414,0,581,2,11,0
OOT000051,01-09-2022,33,24000,71,0.4344,0,1.5913,0,669,1,10,0
OOT000052,01-09-2022,64,61000,59,0.7098,0,0.86,0,634,4,13,0
OOT000053,01-09-2022,35,70000,51,0.6579,2,1.3256,0,562,5,5,0
OOT000054,01-09-2022,24,39000,58,0.451,1,1.0867,60,755,1,7,0
OOT000055,01-09-2022,47,15000,66,0.2237,1,0.5341,0,688,3,13,0
OOT000056,01-09-2022,35,73000,23,0.484,4,1.0585,0,701,1,8,0
OOT000057,01-09-2022,59,105000,29,0.2628,2,1.0252,0,745,1,2,0
OOT000058,01-09-2022,62,60000,59,0.8629,1,0.5209,0,614,1,14,0
OOT000059,01-09-2022,26,28000,17,0.4935,1,1.2573,0,652,4,16,0
OOT000060,01-09-2022,43,44000,63,0.6075,0,0.375,30,645,1,15,0
OOT000061,01-09-2022,42,29000,23,0.9646,1,1.5476,0,604,4,16,0
OOT000062,01-09-2022,64,28000,30,0.5367,0,0.8109,0,630,3,3,0
OOT000063,01-09-2022,51,53000,12,0.3783,2,0.3616,60,634,0,1,1
OOT000064,01-09-2022,59,34000,63,0.4987,0,2.5704,0,673,2,4,0
OOT000065,01-09-2022,53,63000,53,0.2697,0,1.6767,0,608,0,6,0
OOT000066,01-09-2022,45,39000,16,0.5518,0,0.6486,0,616,0,6,0
OOT000067,01-09-2022,60,46000,31,0.8585,0,0.6564,180,708,3,3,0
OOT000068,01-09-2022,57,49000,62,0.2674,5,0.7735,90,664,3,12,0
OOT000069,01-09-2022,53,83000,65,0.1581,1,0.5152,0,750,1,11,0
OOT000070,01-09-2022,55,22000,52,0.3457,2,0.6015,0,706,4,17,1
OOT000071,01-09-2022,35,29000,50,0.569,1,0.5552,0,563,2,12,1
OOT000072,01-09-2022,54,37000,54,0.185,0,1.0033,0,723,2,11,0
OOT000073,01-09-2022,35,31000,15,0.3927,0,2.4432,0,616,2,13,0
OOT000074,01-09-2022,60,19000,16,0.6852,1,0.484,0,696,0,1,0
OOT000075,01-09-2022,47,90000,33,0.2027,1,0.8841,90,534,4,13,0
OOT000076,01-09-2022,54,282000,30,0.3071,0,1.3343,0,727,2,15,0
OOT000077,01-09-2022,51,56000,14,0.328,2,1.1004,90,688,2,9,0
OOT000078,01-09-2022,61,32000,67,0.3964,0,0.7941,60,658,1,15,0
OOT000079,01-09-2022,47,83000,22,0.4701,3,2.0473,30,626,1,13,1
OOT000080,01-09-2022,51,78000,57,0.5631,0,0.6046,0,639,1,11,1
OOT000081,01-09-2022,61,24000,67,0.511,0,0.5611,0,682,1,12,0
OOT000082,01-09-2022,56,27000,49,0.5811,2,0.5064,0,709,0,9,0
OOT000083,01-09-2022,27,31000,35,0.3836,1,0.6852,0,693,5,11,0
OOT000084,01-09-2022,31,47000,69,0.7277,0,1.0676,0,647,2,8,0
OOT000085,01-09-2022,52,97000,40,0.6108,0,0.6952,0,747,1,17,0
OOT000086,01-09-2022,29,60000,44,0.6245,0,0.4876,0,789,4,15,0
OOT000087,01-09-2022,63,39000,40,0.1376,0,0.9693,0,574,4,7,0
OOT000088,01-09-2022,38,63000,30,0.3114,1,0.8522,0,737,2,10,0
OOT000089,01-09-2022,58,40000,43,0.6666,1,0.8041,30,571,2,15,1
OOT000090,01-09-2022,59,41000,70,0.378,1,1.2725,30,791,2,12,0
OOT000091,01-09-2022,56,24000,70,0.4981,0,2.6649,0,551,5,8,0
OOT000092,01-09-2022,64,45000,40,0.2577,0,0.656,0,669,3,12,0
OOT000093,01-09-2022,51,48000,23,0.2958,0,1.2629,0,692,2,5,0
OOT000094,01-09-2022,24,47000,55,0.2123,1,0.5586,0,657,3,1,0
OOT000095,01-09-2022,38,77000,35,0.569,0,0.8417,30,623,0,13,0
OOT000096,01-09-2022,56,21000,49,0.262,0,1.5649,0,725,2,17,0
OOT000097,01-09-2022,60,34000,42,0.1599,1,0.6314,30,698,1,9,0
OOT000098,01-09-2022,51,78000,33,0.5595,1,0.5697,0,808,5,10,0
OOT000099,01-09-2022,41,25000,58,0.2678,0,1.4947,0,725,3,6,0
OOT000100,01-09-2022,37,15000,7,0.642,1,0.9397,30,734,2,4,1
OOT000101,01-09-2022,49,60000,40,0.567,0,0.7423,0,712,1,5,0
OOT000102,01-09-2022,34,35000,23,0.3071,1,0.8989,0,801,5,7,0
OOT000103,01-09-2022,55,30000,37,0.4665,2,1.1667,0,585,1,11,1
OOT000104,01-09-2022,50,75000,51,0.4635,0,0.4733,0,696,1,2,0
OOT000105,01-09-2022,46,44000,10,0.204,0,1.3973,30,536,1,14,0
OOT000106,01-09-2022,34,43000,60,0.45,2,1.7459,0,705,0,15,0
OOT000107,01-09-2022,57,69000,30,0.5959,1,0.357,30,645,2,17,0
OOT000108,01-09-2022,62,47000,15,0.5168,0,0.6603,0,672,0,5,0
OOT000109,01-09-2022,42,90000,21,0.4158,1,1.168,0,602,3,12,0
OOT000110,01-09-2022,37,35000,14,0.8693,1,1.0028,30,765,1,3,1
OOT000111,01-09-2022,51,100000,55,0.7326,0,1.4978,0,652,3,9,0
OOT000112,01-09-2022,26,49000,28,0.1136,4,2.6017,0,630,4,7,0
OOT000113,01-09-2022,63,97000,16,0.3607,0,0.6601,90,678,2,9,0
OOT000114,01-09-2022,58,51000,61,0.5756,1,0.483,0,613,2,4,0
OOT000115,01-09-2022,27,140000,15,0.499,0,0.6782,120,813,1,3,0
OOT000116,01-09-2022,39,41000,40,0.3084,1,1.28,0,691,2,5,0
OOT000117,01-09-2022,54,118000,64,0.2682,0,0.9367,0,705,2,5,0
OOT000118,01-09-2022,53,69000,44,0.5823,0,1.0056,0,628,2,6,0
OOT000119,01-09-2022,34,76000,23,0.7887,0,1.3449,0,630,1,7,0
OOT000120,01-09-2022,58,62000,52,0.1167,0,0.6667,0,619,2,10,0
OOT000121,01-09-2022,50,67000,12,0.6793,0,0.8037,0,668,2,2,0
OOT000122,01-09-2022,30,53000,53,0.4287,0,0.6938,0,607,1,9,0
OOT000123,01-09-2022,57,77000,40,0.5319,2,1.8156,0,667,4,12,0
OOT000124,01-09-2022,35,89000,51,0.2352,1,0.7419,0,686,1,11,0
OOT000125,01-09-2022,54,19000,35,0.4663,2,1.157,30,763,1,15,0
OOT000126,01-09-2022,30,58000,55,0.4973,0,0.7129,0,671,0,9,0
OOT000127,01-09-2022,39,72000,53,0.4918,0,0.5242,0,704,2,8,0
OOT000128,01-09-2022,55,88000,55,0.2965,0,1.7287,0,505,2,16,0
OOT000129,01-09-2022,27,35000,27,0.4925,3,0.8697,0,635,0,11,1
OOT000130,01-09-2022,35,29000,18,0.5306,1,1.4766,0,681,4,15,0
OOT000131,01-09-2022,52,38000,62,0.6136,1,0.8863,0,678,1,3,0
OOT000132,01-09-2022,30,30000,39,0.729,1,0.6538,0,707,1,11,0
OOT000133,01-09-2022,31,70000,43,0.6984,0,2.3892,0,602,1,12,0
OOT000134,01-09-2022,44,61000,12,0.6429,1,1.9324,0,628,3,4,0
OOT000135,01-09-2022,49,28000,6,0.4895,0,0.8395,0,531,0,3,0
OOT000136,01-09-2022,58,46000,72,0.7323,0,0.9537,0,722,0,7,0
OOT000137,01-09-2022,31,68000,28,0.6051,0,0.8737,30,663,1,6,0
OOT000138,01-09-2022,45,51000,33,0.378,0,0.5235,30,681,0,15,0
OOT000139,01-09-2022,29,85000,72,0.3323,1,0.7409,30,662,2,9,0
OOT000140,01-09-2022,54,33000,13,0.8264,0,1.0882,0,735,1,6,0
OOT000141,01-09-2022,25,119000,22,0.2892,2,1.0954,0,768,3,10,0
OOT000142,01-09-2022,45,62000,19,0.3002,2,0.6349,0,708,1,10,0
OOT000143,01-09-2022,58,25000,21,0.7126,1,1.2603,0,799,3,13,0
OOT000144,01-09-2022,63,100000,7,0.6321,1,0.6125,0,795,1,15,0
OOT000145,01-09-2022,24,38000,45,0.3184,4,0.8804,0,646,0,8,0
OOT000146,01-09-2022,30,166000,46,0.5952,0,0.8628,0,723,3,10,0
OOT000147,01-09-2022,47,75000,17,0.2755,1,0.6092,0,628,4,4,0
OOT000148,01-09-2022,42,90000,9,0.8378,0,1.3436,30,714,1,2,0
OOT000149,01-09-2022,32,31000,23,0.8053,4,1.9481,0,698,0,11,0
OOT000150,01-09-2022,46,62000,22,0.83,1,1.6289,30,712,0,4,0
OOT000151,01-09-2022,51,100000,65,0.3545,0,1.2831,0,655,2,5,0
OOT000152,01-09-2022,28,57000,6,0.5166,1,0.683,60,573,1,10,0
OOT000153,01-09-2022,39,46000,61,0.2933,2,0.995,0,806,2,8,0
OOT000154,01-09-2022,56,61000,69,0.5119,0,1.3446,0,645,0,8,0
OOT000155,01-09-2022,25,88000,37,0.6804,2,1.3691,30,706,1,12,0
OOT000156,01-09-2022,47,52000,53,0.2771,0,0.5172,0,717,1,11,0
OOT000157,01-09-2022,40,42000,69,0.7866,1,1.6823,0,630,0,13,0
OOT000158,01-09-2022,45,54000,7,0.1397,2,0.8153,30,676,4,8,1
OOT000159,01-09-2022,35,46000,33,0.8748,2,1.0185,0,704,4,13,0
OOT000160,01-09-2022,27,23000,33,0.5804,1,1.1757,60,697,3,9,0
OOT000161,01-09-2022,54,34000,38,0.7355,0,0.9545,0,755,1,11,0
OOT000162,01-09-2022,43,102000,55,0.5683,3,0.6673,0,758,2,3,0
OOT000163,01-09-2022,57,61000,67,0.1741,1,0.8821,0,728,2,1,0
OOT000164,01-09-2022,34,124000,54,0.3913,1,1.1382,0,681,4,3,0
OOT000165,01-09-2022,38,95000,33,0.399,0,0.4943,0,650,2,7,1
OOT000166,01-09-2022,55,64000,8,0.5499,0,0.6405,0,644,7,13,1
OOT000167,01-09-2022,29,30000,29,0.6132,0,0.5341,30,700,1,12,0
OOT000168,01-09-2022,53,60000,49,0.5786,0,0.5118,30,636,2,16,0
OOT000169,01-09-2022,34,81000,52,0.2009,0,1.622,0,770,1,15,0
OOT000170,01-09-2022,40,106000,35,0.3304,3,1.1294,0,834,3,11,1
OOT000171,01-09-2022,47,58000,46,0.6448,0,0.707,0,534,1,5,0
OOT000172,01-09-2022,24,88000,38,0.29,2,0.5313,0,700,7,10,0
OOT000173,01-09-2022,31,29000,47,0.4021,0,0.5938,0,658,2,4,0
OOT000174,01-09-2022,47,34000,72,0.3881,1,1.5667,30,643,2,10,0
OOT000175,01-09-2022,60,112000,9,0.1395,0,0.7218,0,686,1,9,0
OOT000176,01-09-2022,49,40000,22,0.4654,1,0.6696,0,669,5,4,0
OOT000177,01-09-2022,38,27000,64,0.3718,0,1.3267,0,583,0,6,0
OOT000178,01-09-2022,48,47000,22,0.2903,0,1.0465,0,522,4,9,0
OOT000179,01-09-2022,42,103000,54,0.4601,1,1.1172,0,567,1,2,0
OOT000180,01-09-2022,24,81000,52,0.625,0,1.7055,0,708,3,8,0
OOT000181,01-09-2022,33,76000,39,0.7648,1,0.5186,0,583,1,12,0
OOT000182,01-09-2022,25,38000,14,0.4343,2,1.7131,0,674,3,2,0
OOT000183,01-09-2022,36,26000,48,0.3661,1,0.5179,30,601,0,4,1
OOT000184,01-09-2022,48,85000,7,0.1497,1,0.988,30,544,1,17,0
OOT000185,01-09-2022,55,37000,8,0.0996,1,1.627,0,602,1,2,0
OOT000186,01-09-2022,63,57000,65,0.5611,0,1.8821,0,670,1,16,0
OOT000187,01-09-2022,61,15000,57,0.1627,1,0.7767,30,606,1,12,0
OOT000188,01-09-2022,42,88000,16,0.6315,1,1.1772,0,562,1,2,0
OOT000189,01-09-2022,26,49000,15,0.5219,3,1.1935,0,696,2,10,0
OOT000190,01-09-2022,54,50000,43,0.3969,0,2.0923,30,555,2,11,0
OOT000191,01-09-2022,40,147000,62,0.3826,0,1.2371,0,648,1,8,0
OOT000192,01-09-2022,53,45000,29,0.6824,3,0.7723,0,561,3,2,1
OOT000193,01-09-2022,58,36000,52,0.6899,0,0.4511,0,608,5,4,0
OOT000194,01-09-2022,42,40000,55,0.6656,1,0.7436,30,588,0,17,0
OOT000195,01-09-2022,29,43000,64,0.3893,2,0.641,30,691,2,14,0
OOT000196,01-09-2022,25,77000,20,0.7045,1,0.9761,0,713,4,14,0
OOT000197,01-09-2022,61,50000,16,0.5011,1,1.0509,60,733,4,15,0
OOT000198,01-09-2022,52,19000,58,0.5487,0,0.4855,0,637,0,6,0
OOT000199,01-09-2022,30,82000,43,0.2291,1,1.0265,0,629,2,9,0
OOT000200,01-09-2022,29,91000,47,0.268,0,0.6803,30,719,1,6,0
OOT000201,01-09-2022,28,101000,42,0.8346,0,1.692,0,706,2,3,0
OOT000202,01-09-2022,59,52000,27,0.5895,0,1.1268,30,664,3,9,0
OOT000203,01-09-2022,57,38000,61,0.304,0,1.2943,0,681,0,1,0
OOT000204,01-09-2022,49,44000,20,0.3034,0,0.798,90,837,3,12,0
OOT000205,01-09-2022,28,17000,42,0.1994,0,1.1693,0,632,2,17,0
OOT000206,01-09-2022,37,36000,11,0.8217,1,0.7546,0,723,1,14,0
OOT000207,01-09-2022,53,64000,41,0.3506,1,0.611,0,550,1,10,0
OOT000208,01-09-2022,36,45000,40,0.8154,2,1.6189,0,662,0,13,0
OOT000209,01-09-2022,32,73000,42,0.3755,0,0.7602,0,737,5,12,0
OOT000210,01-09-2022,38,73000,56,0.3471,0,1.0811,0,732,1,15,0
OOT000211,01-09-2022,43,45000,14,0.4204,1,0.9107,0,683,2,7,0
OOT000212,01-09-2022,37,59000,52,0.6099,1,1.3018,0,656,3,3,0
OOT000213,01-09-2022,45,35000,30,0.1893,2,0.6139,90,644,5,11,0
OOT000214,01-09-2022,35,29000,71,0.6681,0,1.0751,0,779,3,6,0
OOT000215,01-09-2022,45,89000,43,0.2008,1,0.5602,0,651,0,11,0
OOT000216,01-09-2022,62,23000,11,0.1297,0,0.8007,30,693,1,16,0
OOT000217,01-09-2022,63,47000,71,0.2814,2,0.6402,30,727,3,3,0
OOT000218,01-09-2022,49,189000,45,0.4229,1,0.8384,0,713,1,12,0
OOT000219,01-09-2022,30,36000,16,0.6194,1,1.2504,0,551,0,14,0
OOT000220,01-09-2022,51,63000,32,0.3212,1,1.2284,0,636,0,10,0
OOT000221,01-09-2022,57,65000,34,0.4491,0,0.4226,0,711,2,13,1
OOT000222,01-09-2022,64,58000,52,0.682,0,1.5265,30,598,0,8,0
OOT000223,01-09-2022,64,75000,38,0.6774,0,1.073,60,607,1,9,0
OOT000224,01-09-2022,28,61000,56,0.4369,1,1.0118,0,659,2,4,0
OOT000225,01-09-2022,58,40000,12,0.1282,3,0.7955,0,755,2,3,0
OOT000226,01-09-2022,58,54000,48,0.3981,0,0.7768,0,827,0,15,0
OOT000227,01-09-2022,62,27000,28,0.2366,0,0.543,0,568,1,5,0
OOT000228,01-09-2022,25,34000,69,0.7917,2,1.5309,60,614,1,8,0
OOT000229,01-09-2022,40,90000,67,0.5223,0,0.4815,60,732,0,15,0
OOT000230,01-09-2022,30,37000,12,0.1674,0,0.8926,0,707,1,16,0
OOT000231,01-09-2022,24,71000,23,0.4024,4,1.29,0,688,1,4,0
OOT000232,01-09-2022,45,133000,50,0.3153,0,1.3144,0,715,3,15,0
OOT000233,01-09-2022,25,50000,36,0.7523,2,0.8459,0,714,2,1,0
OOT000234,01-09-2022,27,39000,42,0.4007,2,0.8865,0,608,1,12,0
OOT000235,01-09-2022,55,15000,53,0.4838,2,0.4346,60,725,1,10,0
OOT000236,01-09-2022,29,43000,53,0.5491,0,1.1739,0,652,3,1,0
OOT000237,01-09-2022,33,61000,6,0.6379,0,1.2324,0,779,1,6,0
OOT000238,01-09-2022,57,27000,40,0.4355,0,0.9633,30,630,3,8,0
OOT000239,01-09-2022,50,35000,10,0.521,1,0.8358,30,631,0,10,0
OOT000240,01-09-2022,47,67000,33,0.4706,1,1.6097,0,651,4,2,0
OOT000241,01-09-2022,44,59000,6,0.3811,4,1.2109,0,701,3,3,0
OOT000242,01-09-2022,64,37000,16,0.4603,1,0.707,30,617,1,10,1
OOT000243,01-09-2022,37,36000,8,0.7432,1,1.9661,0,639,0,8,0
OOT000244,01-09-2022,50,17000,35,0.6561,2,0.9468,0,688,2,16,0
OOT000245,01-09-2022,62,42000,49,0.5606,2,1.1183,0,549,4,10,1
OOT000246,01-09-2022,36,55000,62,0.5,0,0.8581,0,694,2,9,0
OOT000247,01-09-2022,33,24000,71,0.2752,0,0.9818,0,648,4,8,0
OOT000248,01-09-2022,37,43000,29,0.2643,0,1.4772,0,787,0,6,0
OOT000249,01-09-2022,24,105000,37,0.4129,1,0.8226,0,615,5,15,0
OOT000250,01-09-2022,51,130000,31,0.1109,2,1.4106,0,638,1,11,0
OOT000251,01-09-2022,41,115000,22,0.2849,1,0.5332,0,621,0,14,1
OOT000252,01-09-2022,36,21000,71,0.5054,0,1.5212,0,696,3,3,0
OOT000253,01-09-2022,55,30000,67,0.3138,0,0.5209,0,582,1,15,0
OOT000254,01-09-2022,35,42000,24,0.9382,0,0.7539,0,655,5,10,0
OOT000255,01-09-2022,50,51000,45,0.379,1,0.9333,0,600,2,5,0
OOT000256,01-09-2022,59,37000,59,0.3256,1,1.0994,0,792,1,14,0
OOT000257,01-09-2022,46,93000,34,0.1501,2,0.6627,0,581,1,7,1
OOT000258,01-09-2022,64,68000,55,0.3643,2,1.8057,0,597,0,14,0
OOT000259,01-09-2022,28,85000,69,0.7432,0,0.8483,0,694,2,12,1
OOT000260,01-09-2022,36,49000,38,0.5678,0,0.7532,0,738,3,13,0
OOT000261,01-09-2022,61,26000,66,0.2013,1,1.1777,0,638,0,3,0
OOT000262,01-09-2022,55,23000,34,0.6086,0,0.5992,90,583,2,6,0
OOT000263,01-09-2022,61,28000,19,0.5366,1,0.6537,0,717,4,7,0
OOT000264,01-09-2022,62,103000,30,0.3222,1,1.034,90,742,0,16,0
OOT000265,01-09-2022,42,78000,61,0.3522,0,1.1333,0,702,0,7,0
OOT000266,01-09-2022,63,28000,20,0.326,0,1.1472,0,533,0,12,0
OOT000267,01-09-2022,45,19000,49,0.1102,2,1.2953,0,677,2,17,0
OOT000268,01-09-2022,30,49000,44,0.2095,2,0.9217,0,643,0,1,0
OOT000269,01-09-2022,45,32000,68,0.6091,3,1.0158,30,689,0,5,0
OOT000270,01-09-2022,48,104000,48,0.2977,2,1.1775,0,683,1,9,0
OOT000271,01-09-2022,63,86000,56,0.3533,0,0.8099,0,644,2,16,0
OOT000272,01-09-2022,36,46000,32,0.8258,2,1.1606,30,771,3,10,1
OOT000273,01-09-2022,57,49000,25,0.6605,0,1.4113,30,689,2,3,0
OOT000274,01-09-2022,56,49000,52,0.6109,3,1.3606,0,712,0,9,0
OOT000275,01-09-2022,55,54000,69,0.1518,0,0.9359,0,674,0,15,0
OOT000276,01-09-2022,46,82000,51,0.289,2,0.7624,0,708,1,15,0
OOT000277,01-09-2022,59,44000,70,0.7437,1,1.612,0,772,2,8,0
OOT000278,01-09-2022,27,64000,10,0.5629,0,0.7329,0,690,0,16,0
OOT000279,01-09-2022,25,50000,39,0.1745,0,1.4003,0,665,1,7,0
OOT000280,01-09-2022,40,50000,15,0.6123,1,0.6368,0,648,0,6,0
OOT000281,01-09-2022,49,34000,46,0.2445,1,1.0484,0,663,3,9,0
OOT000282,01-09-2022,26,129000,23,0.4788,1,0.7372,0,644,2,6,0
OOT000283,01-09-2022,28,37000,13,0.3481,2,0.8579,90,704,1,9,1
OOT000284,01-09-2022,28,63000,29,0.2981,1,0.5222,60,683,2,5,1
OOT000285,01-09-2022,43,70000,53,0.2209,0,2.0282,0,720,0,12,0
OOT000286,01-09-2022,27,78000,11,0.3972,1,0.7132,0,644,1,17,1
OOT000287,01-09-2022,36,25000,19,0.3355,1,0.8631,30,702,4,10,0
OOT000288,01-09-2022,35,35000,60,0.4126,1,0.8401,0,719,2,7,0
OOT000289,01-09-2022,63,122000,27,0.4077,2,0.6717,30,717,2,6,0
OOT000290,01-09-2022,53,86000,7,0.4518,1,0.6099,120,668,2,1,0
OOT000291,01-09-2022,36,44000,36,0.8448,2,1.0081,0,645,1,1,1
OOT000292,01-09-2022,62,129000,30,0.8186,0,1.4472,0,718,0,12,0
OOT000293,01-09-2022,25,87000,50,0.4689,1,1.5026,0,692,2,6,0
OOT000294,01-09-2022,24,52000,66,0.5624,0,1.2224,0,587,1,17,0
OOT000295,01-09-2022,29,43000,34,0.3417,0,0.8264,0,654,2,8,0
OOT000296,01-09-2022,59,31000,10,0.2653,0,0.5317,0,604,4,14,0
OOT000297,01-09-2022,28,39000,14,0.4301,1,0.5714,0,626,1,9,0
OOT000298,01-09-2022,44,15000,69,0.3337,0,0.5373,60,671,0,16,1
OOT000299,01-09-2022,34,74000,49,0.2631,0,0.9291,0,775,2,10,0
OOT000300,01-09-2022,64,40000,11,0.6359,1,1.5883,0,627,0,3,0
OOT000301,01-09-2022,30,56000,22,0.4571,0,0.9634,0,678,3,13,0
OOT000302,01-09-2022,44,107000,27,0.6166,0,1.0017,0,711,2,8,0
OOT000303,01-09-2022,51,72000,23,0.1859,1,0.7085,0,654,3,14,0
OOT000304,01-09-2022,51,50000,59,0.273,1,1.3245,60,724,3,13,0
OOT000305,01-09-2022,43,77000,17,0.8869,2,0.4966,60,754,1,9,0
OOT000306,01-09-2022,62,45000,63,0.7539,1,1.4171,60,639,2,10,0
OOT000307,01-09-2022,26,108000,50,0.7758,0,0.6004,30,732,2,8,0
OOT000308,01-09-2022,63,27000,56,0.6197,0,0.8976,0,686,3,14,0
OOT000309,01-09-2022,52,55000,23,0.6398,1,2.6989,0,666,1,7,0
OOT000310,01-09-2022,55,84000,27,0.6983,0,1.1246,30,642,3,3,0
OOT000311,01-09-2022,25,66000,14,0.2877,0,0.6745,0,647,1,9,0
OOT000312,01-09-2022,33,88000,11,0.2354,1,2.1699,0,729,2,4,0
OOT000313,01-09-2022,39,33000,19,0.2587,0,0.8576,0,632,1,15,0
OOT000314,01-09-2022,55,20000,63,0.295,2,1.8979,0,729,4,1,0
OOT000315,01-09-2022,60,18000,7,0.4012,2,0.538,0,740,1,17,0
OOT000316,01-09-2022,55,51000,13,0.7932,0,1.6511,0,686,0,9,0
OOT000317,01-09-2022,47,106000,28,0.5295,2,1.2952,0,619,2,11,0
OOT000318,01-09-2022,35,60000,33,0.2953,0,0.7358,0,793,1,16,0
OOT000319,01-09-2022,28,41000,12,0.8826,4,0.8216,0,766,0,17,0
OOT000320,01-09-2022,39,30000,25,0.4872,0,0.6235,0,640,0,3,0
OOT000321,01-09-2022,29,137000,37,0.3363,1,1.6812,0,671,5,5,0
OOT000322,01-09-2022,39,31000,65,0.3011,0,0.8387,0,637,1,10,0
OOT000323,01-09-2022,50,37000,12,0.9454,1,1.3694,0,653,1,17,0
OOT000324,01-09-2022,33,38000,67,0.4859,1,1.0598,0,599,2,12,0
OOT000325,01-09-2022,60,66000,16,0.7168,0,0.8136,0,659,1,15,0
OOT000326,01-09-2022,54,60000,69,0.6,0,0.9565,0,628,2,10,0
OOT000327,01-09-2022,28,42000,23,0.5867,0,0.5438,0,744,3,13,0
OOT000328,01-09-2022,61,98000,26,0.5189,2,0.8971,0,624,0,5,0
OOT000329,01-09-2022,43,28000,8,0.6961,0,1.5593,0,727,2,15,0
OOT000330,01-09-2022,46,67000,47,0.5115,0,1.368,0,534,1,8,0
OOT000331,01-09-2022,48,41000,62,0.3842,1,0.5781,30,715,1,9,0
